timestamp|did-unr|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|blank-1|staff-notes|date-img|blank-2|title-code|title-full|color-tags|
8/8/2020 13:07:09|NNN000001|EL-2-111 Peoples Market 1928.tif; EL-2-112 Detail People's Market 1928.tif; EL-2-113 detail People's Market 1928.tif|People's Market window lettering, Elko, Nevada: photographic print|<p>Exterior view of the People's Market in Elko, the earliest documented neon signs in NV. Detail shots included. Photos were taken during the day.</p>|Unknown|1928||<p>443 Idaho St, Elko, NV 89801</p>|40.832482, -115.763792|||unlit|unknown|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829||https://rightsstatements.org/page/CNE/1.0/?language=en|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072716|Exterior|||1928||<p><p>Exterior view of the People's Market in Elko, the earliest documented neon signs in NV. Detail shots included. Photos were taken during the day.</p></p><p></p><p><p>443 Idaho St, Elko, NV 89801</p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>|<p>Exterior view of the People's Market in Elko, the earliest documented neon signs in NV. Detail shots included. </p><p></p><p><p>443 Idaho St, Elko, NV 89801</p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>||
8/8/2020 13:54:22|NNN000002|f|New Deal Club flag mount sign, Elko, Nevada: photographic print|<p>Exterior view of The New Deal Club sign in Elko, NV during the day.</p>|Unknown|1930,1931,1932,1933,1934,1935,1936,1937,1938,1939||<p>548 Commercial St, Elko, NV 89801</p>|40.832120, -115.761265|||unlit|unknown|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Neon Sculpture -- http://id.worldcat.org/fast/1035829||https://rightsstatements.org/page/CNE/1.0/?language=en|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072717|Exterior|||1940,1941,1942,1943,1944,1945,1946,1947,1948,1949||<p><p>Exterior view of The New Deal Club sign in Elko, NV during the day.</p></p><p></p><p><p>548 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>|<p>Exterior view of The New Deal Club in Elko, NV.</p><p></p><p><p>548 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>||
8/9/2020 12:52:38|NNN000003|EL-2-115 Jackpot Club, now Stockmen's 1940's.tif|Jackpot Club wall sign, Elko, Nevada: photographic print|<p>Exterior view of The Jackpot Club in Elko, now known as Stockmen's.</p>|Unknown|1944||<p>340 Commercial St, Elko, NV 89801</p>|40.830520, -115.763385||||unknown|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Casinos -- http://id.worldcat.org/fast/848246, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Neon Sculpture -- http://id.worldcat.org/fast/1035829||https://rightsstatements.org/page/CNE/1.0/?language=en|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072718|Exterior|||1940,1941,1942,1943,1944,1945,1946,1947,1948,1949||<p><p>Exterior view of The Jackpot Club in Elko, now known as Stockmen's.</p></p><p></p><p><p>340 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p></p><p>unknown</p><p>Exterior</p></br>|<p>Exterior view of The Jackpot Club in Elko, now known as Stockmen's. </p><p></p><p><p>340 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p></p><p>unknown</p><p>Exterior</p></br>||
8/9/2020 13:12:39|NNN000004|EL-2-116 Club Silver Dollar 1940's.tif; EL-2-117 Club Silver Dollar 1986.tif; EL-2-118 Club Silver Dollar 1986.tif; EL-2-119 Club Silver Dollar1986.tif|Silver Dollar Club channel letters, Elko, Nevada: photographic print|<p>Exterior view of The Silver Dollar Club in Elko, NV, opened during the final weeks of the prohibition and closed its doors early 2020. Photographs provided are from different dates; the 1940's and 1986. Lit and unlit images featured.</p>|Unknown|1933|<p>Silver Dollar Club</p>|<p>400 Commercial St, Elko, NV 89801</p>|40.831148, -115.762518|||lit|unknown|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Neon Sculpture -- http://id.worldcat.org/fast/1035829||https://rightsstatements.org/page/CNE/1.0/?language=en|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072719|Exterior|||1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1986||<p><p>Exterior view of The Silver Dollar Club in Elko, NV, opened during the final weeks of the prohibition and closed its doors early 2020. Photographs provided are from different dates; the 1940's and 1986. Lit and unlit images featured.</p></p><p><p>Silver Dollar Club</p></p><p><p>400 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p>lit</p><p>unknown</p><p>Exterior</p></br>|<p>Exterior view of The Silver Dollar Club in Elko, NV, opened during the final weeks of the prohibition and closed its doors early 2020. Photographs provided are from different dates; the 1940's and 1986. Lit and unlit images featured. </p><p><p>Silver Dollar Club</p></p><p><p>400 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p>lit</p><p>unknown</p><p>Exterior</p></br>||
8/9/2020 14:01:13|NNN000005|EL-2-120 Carl's Cafe 1940's.tif|Carl's Cafe flag mount and channel letters, Elko, Nevada: photographic print|<p>Exterior view of Carl's Cafe in Elko, NV also doubled as the town's Greyhound Bus stop.</p>|Unknown|||||||unlit|unknown|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829||https://rightsstatements.org/page/CNE/1.0/?language=en|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072720|Exterior|||1940,1941,1942,1943,1944,1945,1946,1947,1948,1949||<p><p>Exterior view of Carl's Cafe in Elko, NV also doubled as the town's Greyhound Bus stop.</p></p><p></p><p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>|<p>Exterior view of Carl's Cafe in Elko, NV also doubled as the town's Greyhound Bus stop.</p><p></p><p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>||
8/16/2020 14:21:32|NNN000006|EL-2-121 Stockman's Hotel 1940's.tif; EL-2-122 Stockman's Hotel 1986.tif; EL-2-123 Stockman's Hotel 1986.tif|Stockmen's Hotel channel letters, Elko, Nevada: photographic print|<p>Exterior view of The Stockmen's Hotel in Elko, NV. Photos from the 1940's and 1986. The images include views during the day with unlit neon and at night with lit neon.The present day site of the hotel used to be the Mayer Hotel.</p>|Miller, Chelsea S. |1944|<p>Stockmen's</p>|<p>340 Commercial St, Elko, NV 89801</p>|40.830738, -115.762860|||lit, unlit|day, night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Casinos -- http://id.worldcat.org/fast/848246, Motels -- http://id.worldcat.org/fast/1026838, Hotels -- http://id.worldcat.org/fast/961767, Neon Sculpture -- http://id.worldcat.org/fast/1035829||http://rightsstatements.org/vocab/NKC/1.0/|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072721|Exterior|||1986||<p><p>Exterior view of The Stockmen's Hotel in Elko, NV. Photos from the 1940's and 1986. The images include views during the day with unlit neon and at night with lit neon.The present day site of the hotel used to be the Mayer Hotel.</p></p><p><p>Stockmen's</p></p><p><p>340 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p>lit, unlit</p><p>day, night</p><p>Exterior</p></br>|<p>Exterior view of The Stockmen's Hotel in Elko, NV. Photos from the 1940's and 1986. The present day site of the hotel used to be the Mayer Hotel. </p><p><p>Stockmen's</p></p><p><p>340 Commercial St, Elko, NV 89801</p></p><p></p><p></p><p>lit, unlit</p><p>day, night</p><p>Exterior</p></br>||
8/16/2020 14:29:58|NNN000007|EL-2-124 Townhouse Motel 1958.tif|Townhouse Motel dual pylon sign, Elko, Nevada: photographic print|<p>Exterior view of The Townhouse Motel in Elko, NV with unlit neon.</p>|Miller, Chelsea S. |1958||||||unlit| |Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Motels -- http://id.worldcat.org/fast/1026838, Neon Sculpture -- http://id.worldcat.org/fast/1035829||http://rightsstatements.org/vocab/NKC/1.0/|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072722|Exterior|||1986||<p><p>Exterior view of The Townhouse Motel in Elko, NV with unlit neon.</p></p><p></p><p></p><p></p><p></p><p>unlit</p><p> </p><p>Exterior</p></br>|<p>Exterior view of The Townhouse Motel in Elko, NV. </p><p></p><p></p><p></p><p></p><p>unlit</p><p>unknown</p><p>Exterior</p></br>||
8/16/2020 14:37:53|NNN000008|EL-2-125 Tom's Drive Inn 1950.tif|Tom's Drive Inn channel letters, Elko, Nevada: photographic print|<p>Exterior view of Tom's Drive Inn in Elko, NV, converted into a discount satellite tv store.</p>|Miller, Chelsea S. |1950|||||||day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838||http://rightsstatements.org/vocab/NKC/1.0/|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072723|Exterior|||1986||<p><p>Exterior view of Tom's Drive Inn in Elko, NV, converted into a discount satellite tv store.</p></p><p></p><p></p><p></p><p></p><p></p><p>day</p><p>Exterior</p></br>|<p>Exterior view of Tom's Drive Inn in Elko, NV, converted into a discount satellite tv store.</p><p></p><p></p><p></p><p></p><p></p><p>day</p><p>Exterior</p></br>||
8/16/2020 15:39:09|NNN000009|EL-2-127 Knapp Motel 1950.tif|Knapp Motel wall and roof mounted signs, Elko, Nevada: photographic print|<p>Sign pointing towards the Knapp Motel in Elko, NV as seen from Body & Fender Works during the day. Includes Knappp Motel sign, exterior view.<p>|Miller, Chelsea S. |||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Motels -- http://id.worldcat.org/fast/1026838, Neon Sculpture -- http://id.worldcat.org/fast/1035829||http://rightsstatements.org/vocab/NKC/1.0/|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072724|Exterior|||1986||<p><p>Sign pointing towards the Knapp Motel in Elko, NV as seen from Body & Fender Works during the day. Includes Knappp Motel sign, exterior view.<p></p><p></p><p></p><p></p><p></p><p>unlit</p><p>day</p><p>Exterior</p></br>|<p>Sign pointing towards the Knapp Motel in Elko, NV as seen from Body & Fender Works. Includes Knappp Motel sign, exterior view.</p><p></p><p></p><p></p><p></p><p>unlit</p><p>day</p><p>Exterior</p></br>||
8/16/2020 15:48:56|NNN000010|EL-2-129 Centre Motel 1986 .tif; EL-2-130 Centre Motel 1986.tif; EL-2-131 Centre Motel 1986.tif|Centre Motel pylon sign, Elko, Nevada: photographic print|<p>Exterior view of The Centre Motel in Elko, NV, formally known as Knapp's during the day and at night with lit neon</p>|Miller, Chelsea S. ||<p>Centre Motel</p>|<p>475 3rd St, Elko, NV 89801</p>|40.831562, -115.765838|||lit, unlit|day, night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Motels -- http://id.worldcat.org/fast/1026838, Neon Sculpture -- http://id.worldcat.org/fast/1035829||http://rightsstatements.org/vocab/NKC/1.0/|image/tiff|image|Digitized materials: physical originals are not held by UNLV Special Collections and Archives|Northern Nevada Neon|(TBD by UNLV)|(TBD by UNLV)|University of Nevada, Las Vegas University Libraries|Nevada -- http://id.loc.gov/authorities/names/n79072725|Exterior|||1986||<p><p>Exterior view of The Centre Motel in Elko, NV, formally known as Knapp's during the day and at night with lit neon</p></p><p><p>Centre Motel</p></p><p><p>475 3rd St, Elko, NV 89801</p></p><p></p><p></p><p>lit, unlit</p><p>day, night</p><p>Exterior</p></br>|<p>Exterior view of The Centre Motel in Elko, NV, formally known as Knapp's. </p><p><p>Centre Motel</p></p><p><p>475 3rd St, Elko, NV 89801</p></p><p></p><p></p><p>lit, unlit</p><p>day, night</p><p>Exterior</p></br>||
